p,time
1,5.927344
1,5.798181
1,6.061645
1,5.771100
1,5.994395
2,3.927450
2,3.665184
2,3.730960
2,4.011926
2,3.915675
4,2.103392
4,2.043886
4,2.062812
4,2.076553
4,2.090367
8,1.141867
8,1.137507
8,1.144643
8,1.138214
8,1.138068
16,0.608590
16,0.598833
16,0.594507
16,0.596846
16,0.608990
