p,time
1,101.006598
1,98.663018
1,103.153337
1,98.222534
1,102.010132
2,81.767610
2,81.748537
2,81.600626
2,81.578427
2,81.754278
4,47.049730
4,47.031238
4,47.046699
4,47.039046
4,46.974346
8,29.884504
8,29.894597
8,29.883387
8,29.911513
8,29.902146
16,19.889845
16,19.843329
16,19.860556
16,19.862151
16,19.859004
