p,time
1,0.014203
1,0.005512
1,0.006184
1,0.006682
1,0.006188
2,0.002978
2,0.002902
2,0.003151
2,0.003041
2,0.003277
4,0.004129
4,0.001725
4,0.002118
4,0.003352
4,0.001624
8,0.005187
8,0.005280
8,0.005270
8,0.005451
8,0.005989
16,0.001928
16,0.000951
16,0.001527
16,0.001277
16,0.001573
