p,time
1,495.324418
1,444.280056
1,425.011536
1,416.741141
1,380.453922
2,226.754074
2,323.904605
2,221.416338
2,276.313599
2,213.321347
4,163.428105
4,153.926572
4,153.691694
4,203.506408
4,218.504217
8,113.065268
8,141.396587
8,184.282736
8,153.106892
8,137.327187
16,109.409427
16,102.281562
16,94.400259
16,83.700110
16,126.303067
