p,time
1,0.613696
1,0.388247
1,0.419921
1,0.390978
1,0.350384
2,0.342187
2,0.403459
2,0.338853
2,0.417141
2,0.402675
4,0.349788
4,0.380231
4,0.347504
4,0.421394
4,0.446583
8,0.444467
8,0.402967
8,0.424526
8,0.419774
8,0.423603
16,0.340087
16,0.441281
16,0.384103
16,0.341405
16,0.401844
