p,time
1,0.649454
1,0.629050
1,0.676491
1,0.545722
1,0.587401
2,0.348001
2,0.320499
2,0.424153
2,0.337975
2,0.650030
4,0.297642
4,0.307712
4,0.252749
4,0.296820
4,0.343496
8,0.358006
8,0.575255
8,0.406209
8,0.895671
8,0.479594
16,0.649123
16,0.530132
16,0.572426
16,0.510821
16,0.751552
