p,time
1,818.294090
1,753.860410
1,816.441394
1,797.684479
1,589.125358
2,460.152248
2,385.666354
2,414.902857
2,495.202200
2,469.717106
4,238.619768
4,302.451795
4,234.826301
4,214.439579
4,301.301761
8,130.650694
8,159.904606
8,184.817422
8,247.556858
8,209.422424
16,118.734414
16,132.899280
16,179.838491
16,111.561205
16,125.037807
