p,time
1,50.445450
1,46.438994
1,50.312788
1,49.266977
1,36.187897
2,28.419767
2,23.772837
2,25.543599
2,30.601574
2,28.716775
4,14.610263
4,18.631992
4,14.421998
4,13.102955
4,18.481879
8,7.811913
8,9.589412
8,11.204982
8,15.115591
8,12.732093
16,6.881226
16,7.832410
16,10.669876
16,6.470549
16,7.140365
