p,time
1,0.015021
1,0.005275
1,0.005418
1,0.005166
1,0.005645
2,0.003693
2,0.003290
2,0.002865
2,0.003503
2,0.002230
4,0.005003
4,0.001311
4,0.002453
4,0.003150
4,0.001434
8,0.005666
8,0.009010
8,0.005263
8,0.005371
8,0.005824
16,0.001696
16,0.001573
16,0.001660
16,0.001280
16,0.001106
