p,time
1,99.636637
1,101.344327
1,103.151551
1,98.693464
1,97.018054
2,55.637393
2,52.651532
2,58.609416
2,54.580640
2,51.774107
4,35.142177
4,34.009396
4,36.999555
4,37.034179
4,38.019285
8,28.984700
8,29.962619
8,30.093413
8,27.930005
8,28.882368
16,20.906895
16,21.861779
16,20.813295
16,21.872966
16,22.829932
